PostalCode,Borough,Neighborhood,Latitude,Longitude
M3K,North York,Downsview East,43.7374732,-79.4647633
M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.3815764
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914
M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.7111117,-79.2845772
M2L,North York,"York Mills, Silver Hills",43.7574902,-79.3747141
M3L,North York,Downsview West,43.7390146,-79.5069436
M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.3155716
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.3798169
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.7137562,-79.4900738
M9L,North York,Humber Summit,43.7563033,-79.5659633
M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.2394761
M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.4084928
M3M,North York,Downsview Central,43.7284964,-79.4956974
M4M,East Toronto,Studio District,43.6595255,-79.340923
M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133
M9M,North York,"Humberlea, Emery",43.7247659,-79.5322424
M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657,-79.2648481
M2N,North York,Willowdale South,43.7701199,-79.4084928
M3N,North York,Downsview Northwest,43.7616313,-79.5209994
M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
M5N,Central Toronto,Roselawn,43.7116948,-79.4169356
M6N,York,"Runnymede, The Junction North",43.6731853,-79.4872619
M9N,York,Weston,43.706876,-79.5181884
M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.273304
M2P,North York,York Mills West,43.7527583,-79.4000493
M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.4113072
M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.4647633
M9P,Etobicoke,Westmount,43.696319,-79.5322424
M1R,Scarborough,"Wexford, Maryvale",43.7500715,-79.2958491
M2R,North York,Willowdale West,43.7827364,-79.4422593
M4R,Central Toronto,North Toronto West,43.7153834,-79.4056784
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.4056784
M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
M7R,Mississauga,Enclave of L4W,43.6369656,-79.615819
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.5547244
M1S,Scarborough,Agincourt,43.7942003,-79.2620294
M4S,Central Toronto,Davisville,43.7043244,-79.3887901
M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021
M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.5013207
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.7394164,-79.5884369
M1W,Scarborough,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887
M4W,Downtown Toronto,Rosedale,43.6795626,-79.3775294
M5W,Downtown Toronto Stn A,Enclave of M5E,43.6464352,-79.374846
M8W,Etobicoke,"Alderwood, Long Branch",43.6024137,-79.5434841
M9W,Etobicoke Northwest,"Clairville, Humberwood, Woodbine Downs, West Humber, Kipling Heights, Rexdale, Elms, Tandridge, Old Rexdale",43.7067483,-79.5940544
M1X,Scarborough,Upper Rouge,43.8361247,-79.2056361
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.6536536,-79.5069436
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599
M7Y,East Toronto Business,Enclave of M4L,43.6627439,-79.321558
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.4985091
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.5209994
